state,state.po,county,FIPS,candidatevotesR,totalvotes,fracvotesR,partywonR
Texas,TX,Hudspeth,48229,503,871,0.57749713,1
Texas,TX,Hunt,48231,23910,31554,0.757748621,1
Texas,TX,Hutchinson,48233,7042,8155,0.863519313,1
Texas,TX,Irion,48235,660,766,0.861618799,1
Texas,TX,Jack,48237,2973,3350,0.887462687,1
Texas,TX,Jackson,48239,4266,5302,0.804602037,1
Texas,TX,Jasper,48241,10609,13419,0.790595424,1
Texas,TX,Jeff Davis,48243,695,1191,0.583543241,1
Texas,TX,Jefferson,48245,42862,87618,0.489191719,1
Texas,TX,Jim Hogg,48247,430,2119,0.202925908,0
Texas,TX,Jim Wells,48249,5420,12379,0.437838274,0
Texas,TX,Johnson,48251,44382,57606,0.770440579,1
Texas,TX,Jones,48253,4819,5960,0.808557047,1
Texas,TX,Karnes,48255,2965,4198,0.706288709,1
Texas,TX,Kaufman,48257,29587,41265,0.716999879,1
Texas,TX,Kendall,48259,15700,20120,0.780318091,1
Texas,TX,Kenedy,48261,84,186,0.451612903,0
Texas,TX,Kent,48263,360,434,0.829493088,1
Texas,TX,Kerr,48265,17727,23297,0.760913422,1
Texas,TX,Kimble,48267,1697,1952,0.869364754,1
Texas,TX,King,48269,149,159,0.937106918,1
Texas,TX,Kinney,48271,936,1430,0.654545455,1
Texas,TX,Kleberg,48273,4367,9512,0.459104289,0
Texas,TX,Knox,48275,1078,1367,0.788588149,1
Texas,TX,Lamar,48277,14561,18611,0.782386761,1
Texas,TX,Lamb,48279,3111,3995,0.778723404,1
Texas,TX,Lampasas,48281,6385,8205,0.778184034,1
Texas,TX,La Salle,48283,872,2059,0.423506557,0
Texas,TX,Lavaca,48285,7347,8661,0.848285417,1
Texas,TX,Lee,48287,4997,6535,0.764651875,1
Texas,TX,Leon,48289,6391,7439,0.85912085,1
Texas,TX,Liberty,48291,18892,24267,0.77850579,1
Texas,TX,Limestone,48293,5796,7739,0.748933971,1
Texas,TX,Lipscomb,48295,1159,1332,0.87012012,1
Texas,TX,Live Oak,48297,3464,4302,0.805206881,1
Texas,TX,Llano,48299,8299,10447,0.794390734,1
Texas,TX,Loving,48301,58,65,0.892307692,1
Texas,TX,Lubbock,48303,65651,99013,0.663054346,1
Texas,TX,Lynn,48305,1546,2009,0.769537083,1
Texas,TX,McCulloch,48307,2552,3103,0.822429907,1
Texas,TX,McLennan,48309,48260,79075,0.610306671,1
Texas,TX,McMullen,48311,454,499,0.909819639,1
Texas,TX,Madison,48313,3351,4289,0.781301003,1
Texas,TX,Marion,48315,2983,4238,0.70386975,1
Texas,TX,Martin,48317,1455,1762,0.825766175,1
Texas,TX,Mason,48319,1656,2057,0.805055907,1
Texas,TX,Matagorda,48321,8366,12196,0.685962611,1
Texas,TX,Maverick,48323,2816,13588,0.207241684,0
Texas,TX,Medina,48325,12085,17246,0.700742201,1
Texas,TX,Menard,48327,682,864,0.789351852,1
Texas,TX,Midland,48329,36973,49212,0.751300496,1
Texas,TX,Milam,48331,6364,8664,0.734533703,1
Texas,TX,Mills,48333,1951,2245,0.869042316,1
Texas,TX,Mitchell,48335,1780,2196,0.810564663,1
Texas,TX,Montague,48337,7526,8604,0.874709437,1
Texas,TX,Montgomery,48339,150314,204632,0.734557645,1
Texas,TX,Moore,48341,3977,5284,0.752649508,1
Texas,TX,Morris,48343,3446,4973,0.692941886,1
Texas,TX,Motley,48345,566,615,0.920325203,1
Texas,TX,Nacogdoches,48347,14771,22622,0.652948457,1
Texas,TX,Navarro,48349,11994,16433,0.729872817,1
Texas,TX,Newton,48351,4288,5534,0.774846404,1
Texas,TX,Nolan,48353,3552,4857,0.731315627,1
Texas,TX,Nueces,48355,50766,104405,0.48624108,1
Texas,TX,Ochiltree,48357,2628,3002,0.875416389,1
Texas,TX,Oldham,48359,850,948,0.896624473,1
Texas,TX,Orange,48361,25513,32000,0.79728125,1
Texas,TX,Palo Pinto,48363,8284,10270,0.806621227,1
Texas,TX,Panola,48365,8445,10416,0.810771889,1
Texas,TX,Parker,48367,46473,56817,0.817941813,1
Texas,TX,Parmer,48369,1915,2466,0.776561233,1
Texas,TX,Pecos,48371,2468,4185,0.589725209,1
Texas,TX,Polk,48373,15176,19852,0.764456982,1
Texas,TX,Potter,48375,19630,28651,0.68514188,1
Texas,TX,Presidio,48377,652,2208,0.295289855,0
Texas,TX,Rains,48379,3968,4701,0.844075729,1
